,price,square,type,date,juridical,bedroom,length,width,url_page,livingroom,bathroom,pool,garden,project
30,3E+15, 100m,Cần bán căn hộ chung cư,29/05/2023,Sổ hồng/ Sổ đỏ,3 pn,0m,0m,https://alomuabannhadat.vn/chinh-chu-can-ban-can-ho-chung-cu-dien-tich-rong-tai-ha-noi-1095322.html,3 pk,0 wc,không,không,Goldmark City
31,7E+15, 60m,Cần bán căn hộ chung cư,30/05/2023,Sổ hồng/ Sổ đỏ,1 pn,12m,4m,https://alomuabannhadat.vn/ban-gap-ccmn-thang-may-cho-kham-thien-60m-7tg-mt45m-chi-78-ty-1095365.html,1 pk,0 wc,không,không,Hateco La Roma
32,3E+15, 65m,Cần bán căn hộ chung cư,30/05/2023,Sổ hồng/ Sổ đỏ,2 pn,1m,1m,https://alomuabannhadat.vn/ban-can-ho-du-an-urban-green-gia-tot-2pn-65m2-tang-thap-lh-0835379247-gap-phuc-1095368.html,2 pk,2 wc,không,không,None
33,1.20E+16, 60m,Cần bán căn hộ chung cư,28/05/2023,Sổ hồng/ Sổ đỏ,2 pn,11m,5m,https://alomuabannhadat.vn/thanh-xuan-ch-dong-tien-65trthang-dt-60m-6t-thang-may-mt-515m-gia-125-ty-ngo-thong-ful-noi-that-1095197.html,2 pk,2 wc,không,không,BRG Diamond Residence
34,1E+15, 41m,Cần bán căn hộ chung cư,29/05/2023,Sổ hồng/ Sổ đỏ,1 pn,0m,0m,https://alomuabannhadat.vn/ban-chung-cu-thu-duc-1ty7-2pn2vs-1095293.html,1 pk,1 wc,không,không,None
35,2E+15, 69m,Cần bán căn hộ chung cư,27/05/2023,Sổ hồng/ Sổ đỏ,2 pn,6m,10m,https://alomuabannhadat.vn/chi-202-ty-ban-nha-mipec-kien-hung-ha-dong-can-ho-dep-tang-trung-69m2-2-ngu-2vs-lh-0333846866-1095092.html,2 pk,2 wc,không,không,Mipec City View
36,3E+15, 100m,Cần bán căn hộ chung cư,30/05/2023,Sổ hồng/ Sổ đỏ,3 pn,0m,0m,https://alomuabannhadat.vn/ban-can-ho-chung-cu-100m2-3-ngu-2-wc-view-quang-truong-goldmark-ho-tung-mau-1095370.html,3 pk,2 wc,không,không,B.I.G Tower
37,1E+15, 64m,Cần bán căn hộ chung cư,26/05/2023,Sổ hồng/ Sổ đỏ,2 pn,8m,8m,https://alomuabannhadat.vn/ban-ehome3-64m2-2pn2wc-1-ty790-da-co-so-hongkhu-dan-cu-cdt-nam-long-1094844.html,2 pk,2 wc,không,không,Ehome 3
38,1E+15, 50m,Cần bán căn hộ chung cư,27/05/2023,Sổ hồng/ Sổ đỏ,2 pn,0m,0m,https://alomuabannhadat.vn/can-ho-50m2-ngay-mat-tien-quan-6-ly-chieu-hoang-o-ngay-chi-19-ty-1095124.html,2 pk,1 wc,không,không,Blue Sapphire Bình Phú
39,1E+15, 52m,Cần bán căn hộ chung cư,26/05/2023,Sổ hồng/ Sổ đỏ,1 pn,12m,4m,https://alomuabannhadat.vn/ngop-bank-can-ban-cat-lo-200tr-so-voi-hd-nha-moi-nhan-xach-vali-vao-o-ngay-bao-cong-chung-doi-dien-aeonmall-1094823.html,1 pk,1 wc,không,không,None
40,0,,Cần bán căn hộ chung cư,26/05/2023,Sổ hồng/ Sổ đỏ,0 pn,0m,0m,https://alomuabannhadat.vn/gia-chi-11-ty-full-gia-full-noi-that-5-tam-view-nhin-ra-vinh-ha-long-ben-du-thuyen-dao-tuan-chau-cuc-ki-dep-0965524396-1094791.html,0 pk,0 wc,không,không,Pearl Villas
41,1E+15, 53m,Cần bán căn hộ chung cư,26/05/2023,Sổ hồng/ Sổ đỏ,2 pn,0m,0m,https://alomuabannhadat.vn/ban-chung-cu-cach-song-han-100m-dt-53m2-2pn-2wc-gia-chi-hon-1-ty-1094741.html,2 pk,2 wc,không,không,Azura
42,6E+15, 116m,Cần bán căn hộ chung cư,26/05/2023,Sổ hồng/ Sổ đỏ,3 pn,0m,0m,https://alomuabannhadat.vn/chung-cu-n04-udic-complex-cau-giay-116m2-3-ngu-2vs-sdcc-1094794.html,3 pk,2 wc,không,không,None
43,2000000000, 75m,Cần bán căn hộ chung cư,26/05/2023,Sổ hồng/ Sổ đỏ,2 pn,8m,9m,https://alomuabannhadat.vn/1999-tr-so-huu-can-ho-cao-cap-2n-2wc-75m2-tang-trung-tai-trau-quy-gia-lam-lh-0936000458-1094596.html,2 pk,2 wc,không,không,None
44,2000000000, 74m,Cần bán căn hộ chung cư,26/05/2023,Sổ hồng/ Sổ đỏ,2 pn,8m,9m,https://alomuabannhadat.vn/1999-tr-so-huu-can-ho-cao-cap-2n-2wc-75m2-tang-trung-tai-trau-quy-gia-lam-lh-0926782459-1094605.html,2 pk,2 wc,không,không,None
45,1E+15, 33m,Cần bán căn hộ chung cư,25/05/2023,Sổ hồng/ Sổ đỏ,1 pn,7m,5m,https://alomuabannhadat.vn/can-ho-chung-cu-trung-tam-tp-thuan-an-tra-truoc-99tr-nhan-nha-ls-0-an-han-goc-36-thang-1094430.html,1 pk,1 wc,không,không,None
46,1E+15, 54m,Cần bán căn hộ chung cư,25/05/2023,Sổ hồng/ Sổ đỏ,0 pn,10m,5m,https://alomuabannhadat.vn/chung-cu-day-du-noi-that-2-pn-trung-tam-thanh-pho-da-nang-gia-1-ty-2-1094433.html,0 pk,0 wc,không,không,Dana Diamond City
47,6E+15, 147m,Cần bán căn hộ chung cư,26/05/2023,Sổ hồng/ Sổ đỏ,4 pn,14m,10m,https://alomuabannhadat.vn/can-ban-can-ho-4-ngu-dong-nam-147m2-udic-westlake-1094736.html,4 pk,2 wc,không,không,Udic Westlake
48,1E+15, 75m,Cần bán căn hộ chung cư,26/05/2023,Sổ hồng/ Sổ đỏ,2 pn,8m,9m,https://alomuabannhadat.vn/1999-tr-so-huu-can-ho-cao-cap-2n-2wc-75m2-tang-trung-tai-trau-quy-gia-lam-lh-0877817368-1094608.html,2 pk,2 wc,không,không,None
49,1E+15, 52m,Cần bán căn hộ chung cư,26/05/2023,Sổ hồng/ Sổ đỏ,2 pn,0m,0m,https://alomuabannhadat.vn/can-ho-cao-cap-the-western-capital-ly-chieu-hoang-p10-q6-o-ngay-chua-den-2-ty-1094738.html,2 pk,1 wc,không,không,Blue Sapphire Bình Phú
50,5E+15, 152m,Cần bán căn hộ chung cư,26/05/2023,Sổ hồng/ Sổ đỏ,3 pn,0m,0m,https://alomuabannhadat.vn/ban-chung-cu-17t2-kdt-trung-hoa-nhan-chinh-153m2-1094547.html,3 pk,2 wc,không,không,Discovery Skyline
51,3E+15, 70m,Cần bán căn hộ chung cư,26/05/2023,Sổ hồng/ Sổ đỏ,2 pn,0m,0m,https://alomuabannhadat.vn/chung-cu-789-bo-quoc-phong-ngoai-giao-doan-2-ngu-view-dep-tang-toan-bo-noi-that-tien-ich-hoan-hao-1094556.html,2 pk,2 wc,không,không,B.I.G Tower
52,4E+15, 123m,Cần bán căn hộ chung cư,26/05/2023,Sổ hồng/ Sổ đỏ,4 pn,2m,4m,https://alomuabannhadat.vn/chinh-chu-can-ban-chung-cu-can-goc-toa-ct1-x2-dai-kim-hoang-mai-ha-noi-1094560.html,4 pk,2 wc,không,không,None
53,4E+15, 87m,Cần bán căn hộ chung cư,26/05/2023,Sổ hồng/ Sổ đỏ,3 pn,0m,0m,https://alomuabannhadat.vn/chinh-chu-can-ban-nha-chung-cu-cao-cap-6th-element-nguyen-van-huyen-tay-ho-giap-starlake-tay-ho-tay-1094579.html,3 pk,2 wc,không,không,Green Center Villas
54,5E+15, 107m,Cần bán căn hộ chung cư,24/05/2023,Sổ hồng/ Sổ đỏ,2 pn,6m,9m,https://alomuabannhadat.vn/ban-shophouse-chung-cu-an-vien-2107m2-quan-7-canh-kdc-nam-long-1094260.html,2 pk,2 wc,không,không,Seven Diamond
55,0, -50m,Cần bán căn hộ chung cư,24/05/2023,Sổ hồng/ Sổ đỏ,2 pn,0m,0m,https://alomuabannhadat.vn/toi-can-ban-lai-can-ho-2-ngu-tai-trung-tam-du-lich-bai-chay-ha-long-canh-aoen-mall-15-ty-so-hong-lau-dai-1094268.html,2 pk,1 wc,không,không,Pearl Villas
56,1.20E+16, 54m,Cần bán căn hộ chung cư,24/05/2023,Sổ hồng/ Sổ đỏ,0 pn,10m,5m,https://alomuabannhadat.vn/chinh-chu-can-ban-gap-chung-cu-phong-bac-day-du-noi-that-2-pn-gia-1-ty-250tr-lh-0988677254-1094277.html,0 pk,0 wc,không,không,Dana Diamond City
57,2E+15, 60m,Cần bán căn hộ chung cư,24/05/2023,Sổ hồng/ Sổ đỏ,2 pn,0m,0m,https://alomuabannhadat.vn/chung-cu-hud-building-so-4-nguyen-thien-thuat-nha-trang-ban-1094265.html,2 pk,2 wc,không,không,Giáng Hương
58,1E+15, 65m,Cần bán căn hộ chung cư,24/05/2023,Sổ hồng/ Sổ đỏ,2 pn,5m,5m,https://alomuabannhadat.vn/ban-can-ho-2-phong-ngu-chung-cu-eurowindow-thanh-hoa-1094224.html,2 pk,2 wc,không,không,Tecco Center Point
59,132000000,,Cần bán căn hộ chung cư,23/05/2023,Sổ hồng/ Sổ đỏ,0 pn,0m,0m,https://alomuabannhadat.vn/chinh-chu-chuyen-nhuong-the-solari-beverly-vinhome-grandpark-1094140.html,0 pk,0 wc,không,không,Khu dân cư Nhân Phú
60,1E+15, 50m,Cần bán căn hộ chung cư,18/05/2023,Sổ hồng/ Sổ đỏ,1 pn,8m,8m,https://alomuabannhadat.vn/ban-ehome-3-gia-re-1-ty385-da-co-so-hong-san-tai-nha-full-noi-that-tang-cao-1092820.html,1 pk,1 wc,không,không,Ehome 3
61,1E+15, 73m,Cần bán căn hộ chung cư,23/05/2023,Sổ hồng/ Sổ đỏ,0 pn,0m,0m,https://alomuabannhadat.vn/can-ban-can-chung-cu-vi-tri-dep-tai-tp-ha-long-tinh-quang-ninh-1094134.html,0 pk,0 wc,không,không,Pearl Villas
62,5E+15, 135m,Cần bán căn hộ chung cư,23/05/2023,Sổ hồng/ Sổ đỏ,3 pn,10m,13m,https://alomuabannhadat.vn/o-suong-can-goc-chung-cu-hoang-dao-thuy-dep-view-thoang-day-du-noi-that-1094118.html,3 pk,2 wc,không,không,Discovery Skyline
63,5E+15, 120m,Cần bán căn hộ chung cư,23/05/2023,Sổ hồng/ Sổ đỏ,3 pn,12m,10m,https://alomuabannhadat.vn/can-ho-duplex-sieu-xin-trung-tam-quan-thanh-xuan-3-phong-ngu-noi-that-chu-decor-ti-mi-chu-can-ban-gap-de-len-penhouse-1094075.html,3 pk,2 wc,không,không,BRG Diamond Residence
64,2E+15, 95m,Cần bán căn hộ chung cư,23/05/2023,Sổ hồng/ Sổ đỏ,2 pn,9m,10m,https://alomuabannhadat.vn/95m-2-phong-ngu-2-ve-sinh-trung-tam-gan-nhieu-truong-dai-hoc-di-lai-thuan-tien-chu-ngop-can-ban-gap-1094071.html,2 pk,2 wc,không,không,Anland Lakeview
65,1E+15,,Cần bán căn hộ chung cư,22/05/2023,Sổ hồng/ Sổ đỏ,1 pn,0m,0m,https://alomuabannhadat.vn/thiet-ke-xanh-sinh-thai-tai-can-ho-new-galaxy-binh-duong-nang-cao-chat-luong-cuoc-song-1093915.html,1 pk,1 wc,không,không,None
66,0, 70m,Cần bán căn hộ chung cư,22/05/2023,Sổ hồng/ Sổ đỏ,2 pn,0m,0m,https://alomuabannhadat.vn/song-vui-giau-trai-nghiem-gan-ket-tai-moonbay-residence-1093939.html,2 pk,2 wc,không,không,Cát Bi Plaza
67,2E+15, 75m,Cần bán căn hộ chung cư,22/05/2023,Sổ hồng/ Sổ đỏ,2 pn,14m,6m,https://alomuabannhadat.vn/can-ban-can-ho-muong-thanh-vien-trieu-toa-oc3-moi-nhat-du-an-1093963.html,2 pk,2 wc,không,không,None
68,0,,Cần bán căn hộ chung cư,22/05/2023,Sổ hồng/ Sổ đỏ,0 pn,0m,0m,https://alomuabannhadat.vn/full-gia-full-noi-that-so-huu-lau-dai-can-ho-view-bien-giua-trung-tam-thanh-pho-ha-long-chinh-sach-chiet-khau-cuc-khung-len-den-15-ho-tro-lai-suat-0-1093906.html,0 pk,0 wc,không,không,Pearl Villas
69,2E+15, 70m,Cần bán căn hộ chung cư,22/05/2023,Sổ hồng/ Sổ đỏ,2 pn,10m,7m,https://alomuabannhadat.vn/chinh-chu-can-ban-lo-600tr-ch-2pn-nha-moi-100-xach-vali-o-ngay-tang-noi-that-cao-cap-1093885.html,2 pk,2 wc,không,không,West Gate Park
70,0,,Cần bán căn hộ chung cư,22/05/2023,Sổ hồng/ Sổ đỏ,0 pn,0m,0m,https://alomuabannhadat.vn/ban-lo-can-ramada-ha-long-2-ngu-2-wc-full-noi-that-15x-ty-0965-524-396-1093985.html,0 pk,0 wc,không,không,Pearl Villas
71,1E+15, 56m,Cần bán căn hộ chung cư,21/05/2023,Sổ hồng/ Sổ đỏ,2 pn,0m,0m,https://alomuabannhadat.vn/chinh-chu-can-ban-3-can-ho-imperial-place-vi-tri-dep-tai-quan-binh-tan-tp-ho-chi-minh-1093791.html,2 pk,0 wc,không,không,Long Phụng Apartment
72,3E+15, 95m,Cần bán căn hộ chung cư,21/05/2023,Sổ hồng/ Sổ đỏ,3 pn,9m,10m,https://alomuabannhadat.vn/95m-3-phong-ngu-chung-cu-hang-xom-time-city-tien-ich-ngap-tran-chu-can-tien-ban-gap-1093682.html,3 pk,2 wc,không,không,AZ SKY Tower
73,3E+15, 92m,Cần bán căn hộ chung cư,21/05/2023,Sổ hồng/ Sổ đỏ,3 pn,9m,10m,https://alomuabannhadat.vn/92m-3-phong-ngu-chung-cu-ciputra-vip-nhat-ha-noi-gia-nhinh-3-ty-chu-tang-full-noi-that-can-ban-nhanh-1093676.html,3 pk,2 wc,không,không,Green Center Villas
74,6000000000, 137m,Cần bán căn hộ chung cư,21/05/2023,Sổ hồng/ Sổ đỏ,3 pn,0m,0m,https://alomuabannhadat.vn/ban-can-ho-cc-hoc-vien-quoc-phong-duong-nguyen-van-huyen-lo-goc-137m2-3n3wc-gia-599-ty-1093764.html,3 pk,3 wc,không,không,B.I.G Tower
75,5E+15, 92m,Cần bán căn hộ chung cư,21/05/2023,Sổ hồng/ Sổ đỏ,3 pn,9m,10m,https://alomuabannhadat.vn/penhouse-duplex-dang-cap-5-sao-tai-toa-eco-dream-nguyen-xien-thiet-ke-dang-cap-chu-can-ban-gap-1093677.html,3 pk,2 wc,không,không,BRG Diamond Residence
76,7E+15, 141m,Cần bán căn hộ chung cư,21/05/2023,Sổ hồng/ Sổ đỏ,3 pn,14m,10m,https://alomuabannhadat.vn/141m-3-phong-ngu-3-ban-cong-noi-that-cuc-sin-so-chu-tang-toan-bo-cho-khach-muachu-ngop-can-ban-nhanh-1093683.html,3 pk,3 wc,không,không,BRG Diamond Residence
77,2E+15, 90m,Cần bán căn hộ chung cư,21/05/2023,Sổ hồng/ Sổ đỏ,3 pn,0m,0m,https://alomuabannhadat.vn/chung-cu-tap-the-c2-kim-lien-dong-da-90m2-3-ngu-2vs-sdcc-23-ty-tl-1093761.html,3 pk,2 wc,không,không,None
78,1E+15, 49m,Cần bán căn hộ chung cư,21/05/2023,Sổ hồng/ Sổ đỏ,0 pn,0m,0m,https://alomuabannhadat.vn/ban-cac-can-ho-chung-cu-fpt-plaza1-full-noi-that-gia-re-nhat-1093715.html,0 pk,0 wc,không,không,None
79,1E+15, 56m,Cần bán căn hộ chung cư,21/05/2023,Sổ hồng/ Sổ đỏ,0 pn,0m,0m,https://alomuabannhadat.vn/ban-lo-can-ho-2pn-fpt-plaza-2-da-nang-view-dep-1093699.html,0 pk,0 wc,không,không,FPT Plaza 2
80,2E+15, 71m,Cần bán căn hộ chung cư,19/05/2023,Sổ hồng/ Sổ đỏ,2 pn,0m,0m,https://alomuabannhadat.vn/can-ban-can-ho-sky-garden-1-2pn-1wc-714-m2-gia-2650-ty-1093263.html,2 pk,2 wc,không,không,Seven Diamond
81,2.50E+16, 125m,Cần bán căn hộ chung cư,21/05/2023,Sổ hồng/ Sổ đỏ,4 pn,16m,7m,https://alomuabannhadat.vn/ban-can-ccmt-dong-tien-200trthang-ho-tung-mau-8-tang-40-phong-khep-kin-1093828.html,4 pk,4 wc,không,không,B.I.G Tower
82,3E+15, 80m,Cần bán căn hộ chung cư,19/05/2023,Sổ hồng/ Sổ đỏ,2 pn,0m,0m,https://alomuabannhadat.vn/chinh-chu-can-ban-can-ho-tap-the-tang-1-nha-a-tap-the-thanh-tra-chinh-phu-1093297.html,2 pk,2 wc,không,không,343 – 345 Đội Cấn
83,4E+15, 125m,Cần bán căn hộ chung cư,21/05/2023,Sổ hồng/ Sổ đỏ,3 pn,12m,10m,https://alomuabannhadat.vn/125m-3-phong-ngu-nhinh-4-ty-doi-dien-sieu-du-an-lotte-lon-nhat-viet-nam-ho-khau-tay-ho-tien-ich-ngap-tran-1093674.html,3 pk,2 wc,không,không,Green Center Villas
84,1E+15, 50m,Cần bán căn hộ chung cư,19/05/2023,Sổ hồng/ Sổ đỏ,2 pn,0m,0m,https://alomuabannhadat.vn/can-ban-can-ho-duong-ly-chieu-hoang-quan-6-1093246.html,2 pk,1 wc,không,không,The Western Capital
85,0,,Cần bán căn hộ chung cư,19/05/2023,Sổ hồng/ Sổ đỏ,3 pn,0m,0m,https://alomuabannhadat.vn/ban-can-ho-canh-vien-2-view-cong-vien-nam-vien-phu-my-hung-1093100.html,3 pk,2 wc,không,không,None
86,1E+15, 50m,Cần bán căn hộ chung cư,20/05/2023,Sổ hồng/ Sổ đỏ,1 pn,0m,0m,https://alomuabannhadat.vn/thiet-ke-xanh-sinh-thai-tai-can-ho-new-galaxy-binh-duong-nang-cao-chat-luong-cuoc-song-1093445.html,1 pk,0 wc,không,không,None
87,2E+15, 56m,Cần bán căn hộ chung cư,19/05/2023,Sổ hồng/ Sổ đỏ,2 pn,10m,5m,https://alomuabannhadat.vn/co-hoi-tot-chua-tung-co-mua-nha-gia-soc-nhan-uu-dai-khung-tai-hoang-huy-commerce-lien-he-0909369275-1093235.html,2 pk,2 wc,không,không,None
88,2E+15, 75m,Cần bán căn hộ chung cư,20/05/2023,Sổ hồng/ Sổ đỏ,3 pn,0m,0m,https://alomuabannhadat.vn/chung-cu-tap-the-lien-doan-dia-chat-tran-cung-cau-giay-75m2-3-ngu-2vs-sdcc-gia-292-ty-tl-1093559.html,3 pk,2 wc,không,không,None
89,2E+15, 80m,Cần bán căn hộ chung cư,19/05/2023,Sổ hồng/ Sổ đỏ,2 pn,9m,8m,https://alomuabannhadat.vn/chung-cu-cao-cap-trung-tam-thu-duc-lien-he-0384-6789-55-1093207.html,2 pk,2 wc,không,không,4S Riverside Linh Đông
